tag,subject,variant,variant_display,seed,freeze_eeg,epochs,effective_batch_size,lr,best_epoch,best_val_loss,total_train_minutes,total_params_M,trainable_params_M,projection_params_M,bleu1,bleu2,bleu3,bleu4,meteor,bertscore_p,bertscore_r,bertscore_f1
main,sub-06,single_token,Single Token,42,True,25,128,0.0004,25,2.208232,49.55,146.606,4.97,4.462,0.12580613055069353,0.036164619357714825,0.01759960310707832,0.012057324002180715,0.07668679796178896,0.6288086771965027,0.5745787024497986,0.6001938581466675
main,sub-06,transformer,Transformer,42,True,25,128,0.0004,25,2.152812,49.86,147.083,5.447,4.939,0.15076313268974356,0.04315816276995829,0.020884286680045962,0.013615558197753622,0.09261111969986167,0.6339051723480225,0.5893951654434204,0.6105605959892273
main,sub-07,linear_multi,Joint Linear (Ours),42,True,25,128,0.0004,25,1.68775,50.93,146.648,5.012,4.503,0.14771389370552732,0.04288203805057283,0.020232736923242192,0.01285285647975652,0.0886949993864066,0.6175552606582642,0.5917445421218872,0.6041244268417358
main,sub-07,multi_token,Independent Heads,42,True,25,128,0.0004,25,1.679445,51.78,146.63,4.994,4.485,0.13969427075915775,0.041809258400778676,0.019842434025098363,0.01301428671459786,0.08383333175886065,0.6220738291740417,0.5856626033782959,0.6030433773994446
main,sub-07,single_token,Single Token,42,True,25,128,0.0004,25,2.202083,50.14,146.606,4.97,4.462,0.13233655361975344,0.036115458503154334,0.017652305939131547,0.011928628603827414,0.07857147944370248,0.6306345462799072,0.5802035331726074,0.6040492057800293
main,sub-07,transformer,Transformer,42,True,25,128,0.0004,25,2.14236,49.88,147.083,5.447,4.939,0.13716337997112746,0.03914432818629527,0.020029499209844495,0.013005403581777,0.08177490702162304,0.6227352023124695,0.5782729387283325,0.5993363857269287
main,sub-08,linear_multi,Joint Linear (Ours),42,True,25,128,0.0004,25,1.695098,59.02,146.648,5.012,4.503,0.17708753402322788,0.06409626932368319,0.03367804702865179,0.020371832719718225,0.11559528505298977,0.6202920079231262,0.5998380184173584,0.6096201539039612
main,sub-08,multi_token,Independent Heads,42,True,25,128,0.0004,25,1.712443,60.28,146.63,4.994,4.485,0.1548057451792675,0.05638183666398586,0.033019728561744045,0.022111732051563457,0.10289159365443387,0.636560320854187,0.5931709408760071,0.6137748956680298
main,sub-08,single_token,Single Token,42,True,25,128,0.0004,25,2.266949,59.08,146.606,4.97,4.462,0.12025403589190381,0.03370485334260177,0.01772521610723562,0.012121408564364696,0.07191503471768847,0.6276865005493164,0.579670786857605,0.6024611592292786
main,sub-08,transformer,Transformer,42,True,25,128,0.0004,25,2.209132,59.81,147.083,5.447,4.939,0.14261320480140852,0.03638128714565158,0.018612833251247754,0.012514471085097392,0.0824695588860249,0.6266700029373169,0.5682299733161926,0.5957245230674744
main,sub-09,linear_multi,Joint Linear (Ours),42,True,25,128,0.0004,25,1.526894,64.73,146.648,5.012,4.503,0.1676813515069559,0.04904408094371185,0.02399227197906099,0.015603399849174655,0.10025514349343707,0.614749550819397,0.5927743911743164,0.6030588150024414
